pair_id,overlap_ratio,track_type,arousal,cer,max_compression_ratio,hallucinated
0,0.0,mixed,1.670011,0.46875,0.9505,0
0,0.0,sep1,3.328781,0.466667,0.8036,0
0,0.0,sep2,2.747421,0.235294,0.8525,0
0,0.1,mixed,1.649937,0.46875,0.9505,0
0,0.1,sep1,3.342643,0.466667,0.8036,0
0,0.1,sep2,2.761134,0.176471,0.85,0
0,0.3,mixed,1.654669,0.53125,0.9286,0
0,0.3,sep1,3.371667,0.466667,0.8036,0
0,0.3,sep2,2.789675,0.176471,0.85,0
0,0.6,mixed,2.2812,0.4375,0.8721,0
0,0.6,sep1,3.42994,0.466667,0.8036,0
0,0.6,sep2,2.840046,0.176471,0.85,0
0,0.9,mixed,2.271086,0.78125,0.9231,0
0,0.9,sep1,3.541152,0.4,0.8036,0
0,0.9,sep2,2.906942,0.235294,0.8226,0
1,0.0,mixed,1.155069,0.380952,0.8846,0
1,0.0,sep1,3.234541,0.636364,0.8824,0
1,0.0,sep2,2.822137,0.3,0.7317,0
1,0.1,mixed,1.149981,0.380952,0.8846,0
1,0.1,sep1,3.251187,0.636364,0.8824,0
1,0.1,sep2,2.830572,0.3,0.7317,0
1,0.3,mixed,1.560851,0.428571,0.8919,0
1,0.3,sep1,3.278443,0.636364,0.8824,0
1,0.3,sep2,2.859313,0.1,0.7105,0
1,0.6,mixed,1.56912,0.666667,0.8308,0
1,0.6,sep1,3.335104,0.636364,0.8824,0
1,0.6,sep2,2.921412,0.0,0.7317,0
1,0.9,mixed,1.575493,0.904762,0.8036,0
1,0.9,sep1,3.462345,0.636364,0.8824,0
1,0.9,sep2,3.001936,0.3,0.7317,0
2,0.0,mixed,1.609665,0.444444,0.8333,0
2,0.0,sep1,3.524791,0.909091,0.7105,0
2,0.0,sep2,3.379428,0.428571,0.6562,0
2,0.1,mixed,1.615548,0.666667,0.6562,0
2,0.1,sep1,3.536855,0.909091,0.7105,0
2,0.1,sep2,3.384335,0.285714,0.6562,0
2,0.3,mixed,1.577988,0.666667,0.6562,0
2,0.3,sep1,3.563004,0.909091,0.7105,0
2,0.3,sep2,3.411318,0.285714,0.6562,0
2,0.6,mixed,1.609821,0.777778,0.6562,0
2,0.6,sep1,3.605844,0.909091,0.7105,0
2,0.6,sep2,3.439154,0.285714,0.6562,0
2,0.9,mixed,1.682511,0.833333,0.6562,0
2,0.9,sep1,2.186231,0.909091,0.7105,0
2,0.9,sep2,3.48517,0.285714,0.6562,0
3,0.0,mixed,2.215617,0.555556,0.7317,0
3,0.0,sep1,3.494819,0.777778,0.6667,0
3,0.0,sep2,2.795576,0.222222,0.7317,0
3,0.1,mixed,2.220878,0.555556,0.7317,0
3,0.1,sep1,3.503065,0.777778,0.6667,0
3,0.1,sep2,2.809999,0.444444,0.7317,0
3,0.3,mixed,2.162321,0.555556,0.8226,0
3,0.3,sep1,3.521125,0.777778,0.6667,0
3,0.3,sep2,2.835266,0.444444,0.7317,0
3,0.6,mixed,2.147157,0.666667,13.5405,0
3,0.6,sep1,3.558681,0.777778,0.6667,0
3,0.6,sep2,2.887614,0.222222,0.7317,0
3,0.9,mixed,1.568095,0.777778,0.7963,0
3,0.9,sep1,3.613899,0.777778,0.6667,0
3,0.9,sep2,2.965064,0.222222,0.7317,0
4,0.0,mixed,1.395416,0.65,0.8625,0
4,0.0,sep1,3.401553,0.444444,0.7105,0
4,0.0,sep2,2.609252,0.727273,0.75,0
4,0.1,mixed,1.411269,0.65,0.8514,0
4,0.1,sep1,3.419508,0.555556,0.7105,0
4,0.1,sep2,2.623275,0.818182,0.766,0
4,0.3,mixed,1.421481,0.8,0.8308,0
4,0.3,sep1,3.452641,0.444444,0.7105,0
4,0.3,sep2,2.642302,0.727273,0.75,0
4,0.6,mixed,1.352041,0.8,0.8136,0
4,0.6,sep1,3.508043,0.444444,0.7105,0
4,0.6,sep2,2.69303,0.545455,0.75,0
4,0.9,mixed,1.336722,0.8,0.7857,0
4,0.9,sep1,3.579243,0.555556,0.7317,0
4,0.9,sep2,2.751789,0.454545,0.7105,0
5,0.0,mixed,1.20134,0.529412,0.8636,0
5,0.0,sep1,2.890789,0.444444,0.7105,0
5,0.0,sep2,2.713432,0.75,0.775,0
5,0.1,mixed,1.201216,0.352941,0.8308,0
5,0.1,sep1,2.902323,0.444444,0.7105,0
5,0.1,sep2,2.734013,24.25,16.3333,1
5,0.3,mixed,1.204633,0.764706,0.9048,0
5,0.3,sep1,2.927619,0.444444,0.7105,0
5,0.3,sep2,2.77702,0.75,0.7105,0
5,0.6,mixed,1.228831,0.823529,0.9706,0
5,0.6,sep1,2.973658,0.444444,0.7105,0
5,0.6,sep2,2.85178,0.625,0.75,0
5,0.9,mixed,1.215552,0.941176,0.6667,0
5,0.9,sep1,3.045924,0.333333,0.75,0
5,0.9,sep2,2.941796,0.625,0.75,0
6,0.0,mixed,1.457533,0.277778,0.8852,0
6,0.0,sep1,2.665917,0.222222,0.7105,0
6,0.0,sep2,3.312268,0.333333,0.7105,0
6,0.1,mixed,0.882677,0.333333,0.8644,0
6,0.1,sep1,2.677815,0.222222,0.7105,0
6,0.1,sep2,2.752342,0.444444,0.7317,0
6,0.3,mixed,1.448333,0.277778,0.8491,0
6,0.3,sep1,2.702185,0.222222,0.7105,0
6,0.3,sep2,3.392142,0.222222,0.75,0
6,0.6,mixed,0.909518,0.666667,0.6857,0
6,0.6,sep1,2.747251,0.222222,0.7105,0
6,0.6,sep2,3.50448,0.222222,0.75,0
6,0.9,mixed,0.731413,0.444444,0.8571,0
6,0.9,sep1,2.820358,0.222222,0.7105,0
6,0.9,sep2,3.010054,0.222222,0.75,0
7,0.0,mixed,1.820412,0.409091,0.8533,0
7,0.0,sep1,3.374877,0.615385,0.78,0
7,0.0,sep2,2.85189,0.333333,0.7576,0
7,0.1,mixed,1.771714,0.727273,0.78,0
7,0.1,sep1,3.385584,0.615385,0.78,0
7,0.1,sep2,2.862723,0.333333,0.7576,0
7,0.3,mixed,1.702382,0.363636,0.8571,0
7,0.3,sep1,3.406483,0.615385,0.78,0
7,0.3,sep2,2.891212,0.333333,0.7576,0
7,0.6,mixed,1.560219,0.545455,0.9773,0
7,0.6,sep1,3.445523,0.692308,0.78,0
7,0.6,sep2,2.93753,0.333333,0.7576,0
7,0.9,mixed,1.03351,0.727273,0.7317,0
7,0.9,sep1,3.503383,0.692308,0.78,0
7,0.9,sep2,2.997391,0.333333,0.7576,0
