window_id,overlap_label,num_speakers,router_v2_method,lang_id_entropy,corrected_decision,word_mixed_cpwer,word_separated_cpwer,word_router_v2_cpwer,word_oracle_cpwer,word_corrected_cpwer,char_mixed_cpwer,char_separated_cpwer,char_router_v2_cpwer,char_oracle_cpwer,char_corrected_cpwer,char_sep_empty
0,NoOverlap,6,separated,1.553509,mixed,1.0,2.333333,2.333333,1.0,1.0,0.963636,1.645455,1.645455,0.963636,0.963636,False
1,NoOverlap,1,separated,0.0,separated,2.0,1.0,1.0,1.0,1.0,0.80625,1.0,1.0,0.80625,1.0,True
2,NoOverlap,1,separated,0.0,separated,2.0,1.0,1.0,1.0,1.0,0.663793,0.663793,0.663793,0.663793,0.663793,False
3,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.722543,0.67052,0.67052,0.67052,0.67052,False
4,NoOverlap,1,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
5,NoOverlap,1,separated,0.490342,mixed,1.0,2.0,2.0,1.0,1.0,0.777778,0.951389,0.951389,0.777778,0.777778,False
6,NoOverlap,2,separated,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.815951,0.846626,0.846626,0.815951,0.846626,False
7,NoOverlap,1,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
8,NoOverlap,1,mixed,0.322757,separated,4.0,1.0,4.0,1.0,1.0,0.960784,0.95098,0.960784,0.95098,0.95098,False
9,NoOverlap,1,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
10,NoOverlap,1,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
11,NoOverlap,1,mixed,0.563285,mixed,1.0,3.0,1.0,1.0,1.0,1.0,0.693989,1.0,0.693989,1.0,False
12,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.691781,0.691781,0.691781,0.691781,0.691781,False
13,NoOverlap,1,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
14,NoOverlap,2,separated,0.373609,separated,1.0,1.0,1.0,1.0,1.0,0.871508,0.865922,0.865922,0.865922,0.865922,False
15,NoOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,0.994536,1.0,0.994536,0.994536,False
16,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,0.960396,1.0,0.960396,0.960396,False
17,MidOverlap,3,mixed,0.630778,mixed,1.0,1.333333,1.0,1.0,1.0,1.0,0.895683,1.0,0.895683,1.0,False
18,HeavyOverlap,3,separated,1.240671,mixed,1.0,1.666667,1.666667,1.0,1.0,1.0,0.901024,0.901024,0.901024,1.0,False
19,LightOverlap,2,mixed,0.863121,mixed,1.0,1.0,1.0,1.0,1.0,0.867299,0.914692,0.867299,0.867299,0.867299,False
20,LightOverlap,2,mixed,1.298023,mixed,1.0,2.0,1.0,1.0,1.0,1.0,0.898305,1.0,0.898305,1.0,False
21,NoOverlap,2,mixed,0.503258,mixed,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
22,NoOverlap,2,separated,0.143726,separated,1.0,2.0,2.0,1.0,2.0,0.542373,0.491525,0.491525,0.491525,0.491525,False
23,NoOverlap,2,mixed,1.216316,mixed,1.0,3.0,1.0,1.0,1.0,1.0,1.574713,1.0,1.0,1.0,False
24,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,0.99435,1.0,0.99435,0.99435,False
25,LightOverlap,2,mixed,1.086049,mixed,1.0,1.5,1.0,1.0,1.0,0.684874,0.663866,0.684874,0.663866,0.684874,False
26,NoOverlap,2,separated,1.750916,mixed,1.0,3.5,3.5,1.0,1.0,0.73991,0.856502,0.856502,0.73991,0.73991,False
27,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.696203,0.696203,0.696203,0.696203,0.696203,False
28,NoOverlap,3,mixed,0.785235,mixed,1.0,2.0,1.0,1.0,1.0,1.0,0.953704,1.0,0.953704,1.0,False
29,LightOverlap,2,mixed,0.0,separated,2.0,1.0,2.0,1.0,1.0,0.944444,0.868056,0.944444,0.868056,0.868056,False
30,NoOverlap,1,separated,0.322852,separated,1.0,2.0,2.0,1.0,2.0,0.802691,0.802691,0.802691,0.802691,0.802691,False
31,NoOverlap,2,separated,1.1635,mixed,1.5,2.5,2.5,1.5,1.5,0.986425,0.968326,0.968326,0.968326,0.986425,False
32,LightOverlap,3,mixed,1.31639,mixed,1.333333,1.333333,1.333333,1.333333,1.333333,0.979899,0.809045,0.979899,0.809045,0.979899,False
33,MidOverlap,3,mixed,1.068306,mixed,1.0,2.666667,1.0,1.0,1.0,0.880383,0.976077,0.880383,0.880383,0.880383,False
34,LightOverlap,3,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.867403,0.977901,0.867403,0.867403,0.977901,False
35,NoOverlap,1,mixed,1.265471,mixed,1.0,2.0,1.0,1.0,1.0,1.0,0.962264,1.0,0.962264,1.0,False
36,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.678363,0.672515,0.672515,0.672515,0.672515,False
37,NoOverlap,1,separated,0.373609,separated,1.0,1.0,1.0,1.0,1.0,0.730159,0.626984,0.626984,0.626984,0.626984,False
38,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.870504,0.798561,0.798561,0.798561,0.798561,False
39,NoOverlap,1,separated,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.662791,0.674419,0.674419,0.662791,0.674419,False
40,NoOverlap,1,separated,0.0,separated,6.0,1.0,1.0,1.0,1.0,0.961538,0.5,0.5,0.5,0.5,False
41,NoOverlap,2,separated,1.241695,mixed,1.0,1.5,1.5,1.0,1.0,0.982301,0.955752,0.955752,0.955752,0.982301,False
42,NoOverlap,2,separated,1.554222,mixed,1.5,3.0,3.0,1.5,1.5,0.873626,0.989011,0.989011,0.873626,0.873626,False
43,MidOverlap,3,mixed,1.685816,mixed,1.0,1.666667,1.0,1.0,1.0,0.924883,0.938967,0.924883,0.924883,0.924883,False
44,MidOverlap,3,mixed,0.831474,mixed,1.0,1.0,1.0,1.0,1.0,0.937799,0.866029,0.937799,0.866029,0.937799,False
45,LightOverlap,4,mixed,1.378783,mixed,1.0,3.25,1.0,1.0,1.0,0.974619,0.979695,0.974619,0.974619,0.974619,False
46,NoOverlap,2,separated,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.840237,0.822485,0.822485,0.822485,0.822485,False
47,LightOverlap,4,mixed,1.090274,mixed,1.0,2.0,1.0,1.0,1.0,1.0,0.988304,1.0,0.988304,1.0,False
48,MidOverlap,3,mixed,1.371283,mixed,1.0,2.0,1.0,1.0,1.0,0.900498,0.99005,0.900498,0.900498,0.900498,False
49,LightOverlap,4,mixed,1.360527,mixed,1.0,2.0,1.0,1.0,1.0,1.0,0.930233,1.0,0.930233,1.0,False
50,MidOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
51,LightOverlap,3,mixed,1.324496,mixed,1.0,2.0,1.0,1.0,1.0,0.963855,1.036145,0.963855,0.963855,0.963855,False
52,LightOverlap,3,mixed,0.94566,mixed,1.0,1.0,1.0,1.0,1.0,0.747126,0.752874,0.747126,0.747126,0.747126,False
53,LightOverlap,2,mixed,1.080626,mixed,1.0,3.0,1.0,1.0,1.0,1.0,0.959184,1.0,0.959184,1.0,False
54,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
55,MidOverlap,3,mixed,0.409073,mixed,1.0,1.333333,1.0,1.0,1.0,1.0,0.941748,1.0,0.941748,1.0,False
56,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.9163,0.863436,0.9163,0.863436,0.863436,False
57,NoOverlap,2,mixed,1.183979,mixed,1.0,2.0,1.0,1.0,1.0,1.0,0.983696,1.0,0.983696,1.0,False
58,NoOverlap,1,separated,0.0,separated,2.0,1.0,1.0,1.0,1.0,0.793548,0.819355,0.819355,0.793548,0.819355,False
59,NoOverlap,2,mixed,0.325552,separated,1.0,1.0,1.0,1.0,1.0,1.0,0.783439,1.0,0.783439,0.783439,False
60,NoOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
61,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.771277,0.771277,0.771277,0.771277,0.771277,False
62,NoOverlap,2,separated,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.775641,1.0,1.0,0.775641,1.0,True
63,LightOverlap,2,mixed,1.426068,mixed,1.0,3.0,1.0,1.0,1.0,1.0,0.985437,1.0,0.985437,1.0,False
64,NoOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
65,LightOverlap,3,mixed,1.313896,mixed,1.0,2.666667,1.0,1.0,1.0,1.0,1.13198,1.0,1.0,1.0,False
66,LightOverlap,3,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
67,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
68,MidOverlap,4,mixed,1.465538,mixed,1.0,3.0,1.0,1.0,1.0,0.931034,0.968966,0.931034,0.931034,0.931034,False
69,LightOverlap,2,mixed,0.967193,mixed,1.0,1.5,1.0,1.0,1.0,0.856436,0.866337,0.856436,0.856436,0.856436,False
70,MidOverlap,3,mixed,1.171037,mixed,1.0,1.666667,1.0,1.0,1.0,0.989305,0.973262,0.989305,0.973262,0.989305,False
71,LightOverlap,2,mixed,0.0,separated,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
72,MidOverlap,4,mixed,1.113908,mixed,1.0,1.75,1.0,1.0,1.0,1.0,0.955285,1.0,0.955285,1.0,False
73,LightOverlap,3,mixed,1.411981,mixed,1.0,4.333333,1.0,1.0,1.0,1.0,0.967391,1.0,0.967391,1.0,False
74,MidOverlap,4,mixed,1.384432,mixed,1.0,1.5,1.0,1.0,1.0,1.0,0.987342,1.0,0.987342,1.0,False
75,NoOverlap,2,separated,0.0,separated,1.0,1.0,1.0,1.0,1.0,0.766667,1.0,1.0,0.766667,1.0,True
76,NoOverlap,1,mixed,0.940959,mixed,1.0,3.0,1.0,1.0,1.0,1.0,0.898551,1.0,0.898551,1.0,False
