overlap_ratio,n,regret_cr_only,regret_cr_nsp,regret_cr_nsp_rep,regret_cr_log,regret_threshold_gate,regret_fixed_mixed,regret_fixed_sep,regret_oracle
0.0,20,0.142839,0.070089,0.070089,0.142839,0.13602,0.070089,0.410745,0.0
0.05,20,0.094195,0.076734,0.076734,0.094195,0.089649,0.076734,0.655959,0.0
0.1,20,0.111335,0.092144,0.092144,0.111335,0.111335,0.093426,1.036344,0.0
0.15,20,0.087875,0.09065,0.09065,0.087875,0.103027,0.09065,0.687735,0.0
0.2,20,0.094032,0.086104,0.086104,0.094032,0.080396,0.789437,0.091254,0.0
0.25,20,0.06265,0.115885,0.115885,0.06265,0.055832,0.115885,0.059872,0.0
0.3,20,0.107471,0.116831,0.120677,0.107471,0.096107,0.820164,0.107471,0.0
0.35,20,0.094842,0.104612,0.098729,0.094842,0.078933,0.390723,0.088096,0.0
0.4,20,0.118547,0.138297,0.138297,0.118547,0.109456,0.844964,0.086801,0.0
0.45,20,0.10616,0.170425,0.170425,0.10616,0.099342,0.170425,0.081557,0.0
0.5,20,0.138271,0.183338,0.183338,0.138271,0.135998,0.183338,0.072993,0.0
0.6,20,0.125432,0.220878,0.220878,0.125432,0.125432,0.231989,0.05432,0.0
0.7,20,0.138538,0.281186,0.281186,0.138538,0.143083,0.281186,0.072189,0.0
0.8,20,0.090816,0.251903,0.251903,0.090816,0.097634,0.28857,0.044336,0.0
0.9,20,0.190158,0.325945,0.279675,0.190158,0.196977,0.332763,0.042804,0.0
