pair_id,con,pro,overlap_ratio,cer_base,sub_base,del_base,ins_base,sub_frac_base,del_frac_base,ins_frac_base,halluc_dominated_base,cer_tiny,sub_tiny,del_tiny,ins_tiny,sub_frac_tiny,del_frac_tiny,ins_frac_tiny,halluc_dominated_tiny
0,con_001.wav,pro_001.wav,0.0,0.30303,10,0,0,1.0,0.0,0.0,False,0.333333,11,0,0,1.0,0.0,0.0,False
0,con_001.wav,pro_001.wav,0.15,0.30303,10,0,0,1.0,0.0,0.0,False,0.333333,11,0,0,1.0,0.0,0.0,False
0,con_001.wav,pro_001.wav,0.35,0.30303,10,0,0,1.0,0.0,0.0,False,0.333333,11,0,0,1.0,0.0,0.0,False
0,con_001.wav,pro_001.wav,0.6,0.30303,10,0,0,1.0,0.0,0.0,False,0.333333,11,0,0,1.0,0.0,0.0,False
0,con_001.wav,pro_001.wav,0.9,0.30303,10,0,0,1.0,0.0,0.0,False,0.333333,11,0,0,1.0,0.0,0.0,False
1,con_002.wav,pro_008.wav,0.0,0.142857,1,0,2,0.3333,0.0,0.6667,True,0.380952,4,0,4,0.5,0.0,0.5,False
1,con_002.wav,pro_008.wav,0.15,0.142857,1,0,2,0.3333,0.0,0.6667,True,0.380952,4,0,4,0.5,0.0,0.5,False
1,con_002.wav,pro_008.wav,0.35,0.142857,1,0,2,0.3333,0.0,0.6667,True,0.380952,4,0,4,0.5,0.0,0.5,False
1,con_002.wav,pro_008.wav,0.6,0.142857,1,0,2,0.3333,0.0,0.6667,True,0.380952,4,0,4,0.5,0.0,0.5,False
1,con_002.wav,pro_008.wav,0.9,0.142857,1,0,2,0.3333,0.0,0.6667,True,0.380952,4,0,4,0.5,0.0,0.5,False
2,con_003.wav,pro_015.wav,0.0,0.111111,1,1,0,0.5,0.5,0.0,False,0.666667,10,2,0,0.8333,0.1667,0.0,False
2,con_003.wav,pro_015.wav,0.15,0.111111,1,1,0,0.5,0.5,0.0,False,0.666667,10,2,0,0.8333,0.1667,0.0,False
2,con_003.wav,pro_015.wav,0.35,0.111111,1,1,0,0.5,0.5,0.0,False,0.666667,10,2,0,0.8333,0.1667,0.0,False
2,con_003.wav,pro_015.wav,0.6,0.111111,1,1,0,0.5,0.5,0.0,False,0.666667,10,2,0,0.8333,0.1667,0.0,False
2,con_003.wav,pro_015.wav,0.9,0.111111,1,1,0,0.5,0.5,0.0,False,0.666667,10,2,0,0.8333,0.1667,0.0,False
3,con_004.wav,pro_007.wav,0.0,0.333333,4,0,2,0.6667,0.0,0.3333,False,0.444444,6,2,0,0.75,0.25,0.0,False
3,con_004.wav,pro_007.wav,0.15,0.333333,4,0,2,0.6667,0.0,0.3333,False,0.444444,6,2,0,0.75,0.25,0.0,False
3,con_004.wav,pro_007.wav,0.35,0.333333,4,0,2,0.6667,0.0,0.3333,False,0.444444,6,2,0,0.75,0.25,0.0,False
3,con_004.wav,pro_007.wav,0.6,0.333333,4,0,2,0.6667,0.0,0.3333,False,0.444444,6,2,0,0.75,0.25,0.0,False
3,con_004.wav,pro_007.wav,0.9,0.333333,4,0,2,0.6667,0.0,0.3333,False,0.444444,6,2,0,0.75,0.25,0.0,False
4,con_005.wav,pro_014.wav,0.0,0.1,2,0,0,1.0,0.0,0.0,False,0.5,7,2,1,0.7,0.2,0.1,False
4,con_005.wav,pro_014.wav,0.15,0.1,2,0,0,1.0,0.0,0.0,False,0.5,7,2,1,0.7,0.2,0.1,False
4,con_005.wav,pro_014.wav,0.35,0.1,2,0,0,1.0,0.0,0.0,False,0.5,7,2,1,0.7,0.2,0.1,False
4,con_005.wav,pro_014.wav,0.6,0.1,2,0,0,1.0,0.0,0.0,False,0.5,7,2,1,0.7,0.2,0.1,False
4,con_005.wav,pro_014.wav,0.9,0.1,2,0,0,1.0,0.0,0.0,False,0.5,7,2,1,0.7,0.2,0.1,False
