window_id,tied,speaker_count,active_speaker_count,active_speaker_count_ref,overlap_ratio,overlap_level,overlap_label,mixed_text_length,separated_text_length,total_separated_chars,runtime_ratio,avg_speaker_length_sep,lang_id_entropy,compression_ratio,always_mixed_cpwer,always_separated_cpwer,oracle_best_cpwer,router_v2_method
0,0,6,6,6,0.0,0,NoOverlap,29,194,194,5.709,32.333333333333336,1.5535088547976783,6.689655172413793,1.0,2.3333333333333335,1.0,separated
1,0,1,0,1,0.0,0,NoOverlap,104,0,0,0.391,0.0,0.0,0.0,2.0,1.0,1.0,separated
2,0,1,1,1,0.0,0,NoOverlap,84,77,77,0.535,77.0,0.0,0.9166666666666666,2.0,1.0,1.0,separated
3,1,1,1,1,0.0,0,NoOverlap,74,90,90,1.069,90.0,0.0,1.2162162162162162,1.0,1.0,1.0,separated
4,1,1,0,1,0.0,0,NoOverlap,0,0,0,0.958,0.0,0.0,0.0,1.0,1.0,1.0,mixed
5,0,1,1,1,0.0,0,NoOverlap,84,36,36,7.636,36.0,0.4903415031415078,0.42857142857142855,1.0,2.0,1.0,separated
6,1,2,2,2,0.0,0,NoOverlap,77,79,79,1.994,39.5,0.0,1.025974025974026,1.0,1.0,1.0,separated
7,1,1,0,1,0.0,0,NoOverlap,0,0,0,7.431,0.0,0.0,0.0,1.0,1.0,1.0,mixed
8,0,1,1,1,0.0,0,NoOverlap,48,34,34,1.001,34.0,0.3227569588973982,0.7083333333333334,4.0,1.0,1.0,mixed
9,1,1,0,1,0.0,0,NoOverlap,0,0,0,1.502,0.0,0.0,0.0,1.0,1.0,1.0,mixed
10,1,1,0,1,0.0,0,NoOverlap,0,0,0,1.164,0.0,0.0,0.0,1.0,1.0,1.0,mixed
11,0,1,1,1,0.0,0,NoOverlap,0,136,136,2.549,136.0,0.5632851350293091,136.0,1.0,3.0,1.0,mixed
12,1,1,1,1,0.0,0,NoOverlap,99,99,99,0.623,99.0,0.0,1.0,1.0,1.0,1.0,separated
13,1,1,0,1,0.0,0,NoOverlap,0,0,0,0.775,0.0,0.0,0.0,1.0,1.0,1.0,mixed
14,1,2,2,2,0.0209,0,NoOverlap,113,112,112,2.75,56.0,0.3736090708557683,0.9911504424778761,1.0,1.0,1.0,separated
15,1,2,1,2,0.0,0,NoOverlap,0,2,2,6.965,2.0,0.0,2.0,1.0,1.0,1.0,mixed
16,1,2,2,2,0.1008,1,LightOverlap,0,201,201,3.395,100.5,0.0,201.0,1.0,1.0,1.0,mixed
17,0,3,3,3,0.3831,2,MidOverlap,0,167,167,12.15,55.666666666666664,0.6307783598603262,167.0,1.0,1.3333333333333333,1.0,mixed
18,0,3,3,3,0.5379,3,HeavyOverlap,0,196,196,6.905,65.33333333333333,1.2406705316766884,196.0,1.0,1.6666666666666667,1.0,separated
19,1,2,2,2,0.1081,1,LightOverlap,92,108,108,3.348,54.0,0.863120568566631,1.173913043478261,1.0,1.0,1.0,mixed
20,0,2,2,2,0.0738,1,LightOverlap,0,115,115,3.859,57.5,1.2980228574817525,115.0,1.0,2.0,1.0,mixed
21,0,2,1,2,0.005,0,NoOverlap,0,9,9,10.01,9.0,0.5032583347756457,9.0,1.0,1.5,1.0,mixed
22,0,2,1,2,0.0,0,NoOverlap,96,98,98,7.052,98.0,0.14372616993938178,1.0208333333333333,1.0,2.0,1.0,separated
23,0,2,2,2,0.018,0,NoOverlap,0,144,144,33.378,72.0,1.2163158229630595,144.0,1.0,3.0,1.0,mixed
24,1,2,1,2,0.1231,1,LightOverlap,0,3,3,1.799,3.0,0.0,3.0,1.0,1.0,1.0,mixed
25,0,2,2,2,0.1261,1,LightOverlap,149,162,162,1.512,81.0,1.086048612313038,1.087248322147651,1.0,1.5,1.0,mixed
26,0,2,2,2,0.0403,0,NoOverlap,125,158,158,4.069,79.0,1.7509155979504167,1.264,1.0,3.5,1.0,separated
27,1,1,1,1,0.0,0,NoOverlap,140,142,142,1.43,142.0,0.0,1.0142857142857142,1.0,1.0,1.0,separated
28,0,3,2,3,0.0,0,NoOverlap,0,35,35,25.096,17.5,0.785235442391543,35.0,1.0,2.0,1.0,mixed
29,0,2,2,2,0.1072,1,LightOverlap,73,30,30,2.153,15.0,0.0,0.410958904109589,2.0,1.0,1.0,mixed
30,0,1,1,1,0.0,0,NoOverlap,150,154,154,0.991,154.0,0.32285231958525373,1.0266666666666666,1.0,2.0,1.0,separated
31,0,2,2,2,0.0,0,NoOverlap,63,77,77,1.778,38.5,1.1635002846457883,1.2222222222222223,1.5,2.5,1.5,separated
32,1,3,2,3,0.0705,1,LightOverlap,28,93,93,1.53,46.5,1.3163896416748346,3.3214285714285716,1.3333333333333333,1.3333333333333333,1.3333333333333333,mixed
33,0,3,2,3,0.4087,2,MidOverlap,65,106,106,14.312,53.0,1.0683058479214562,1.6307692307692307,1.0,2.6666666666666665,1.0,mixed
34,1,3,2,3,0.0605,1,LightOverlap,94,67,67,4.2,33.5,0.0,0.7127659574468085,1.0,1.0,1.0,mixed
35,0,1,1,1,0.0,0,NoOverlap,0,49,49,5.178,49.0,1.2654710259533886,49.0,1.0,2.0,1.0,mixed
36,1,1,1,1,0.0,0,NoOverlap,85,93,93,1.096,93.0,0.0,1.0941176470588236,1.0,1.0,1.0,separated
37,1,1,1,1,0.0,0,NoOverlap,96,111,111,0.422,111.0,0.3736090708557683,1.15625,1.0,1.0,1.0,separated
38,1,1,1,1,0.0,0,NoOverlap,79,77,77,0.459,77.0,0.0,0.9746835443037974,1.0,1.0,1.0,separated
39,1,1,1,1,0.0,0,NoOverlap,58,57,57,0.95,57.0,0.0,0.9827586206896551,1.0,1.0,1.0,separated
40,0,1,1,1,0.0,0,NoOverlap,65,61,61,0.124,61.0,0.0,0.9384615384615385,6.0,1.0,1.0,separated
41,0,2,2,2,0.0,0,NoOverlap,84,72,72,8.463,36.0,1.2416952002306816,0.8571428571428571,1.0,1.5,1.0,separated
42,0,2,1,2,0.028,0,NoOverlap,74,54,54,0.821,54.0,1.554222455704533,0.7297297297297297,1.5,3.0,1.5,separated
43,0,3,3,3,0.3961,2,MidOverlap,107,178,178,4.751,59.333333333333336,1.6858157091530304,1.6635514018691588,1.0,1.6666666666666667,1.0,mixed
44,1,3,2,3,0.3185,2,MidOverlap,68,70,70,8.796,35.0,0.8314743880097293,1.0294117647058822,1.0,1.0,1.0,mixed
45,0,4,3,4,0.0615,1,LightOverlap,122,121,121,2.848,40.333333333333336,1.3787834934861753,0.9918032786885246,1.0,3.25,1.0,mixed
46,1,2,1,2,0.0,0,NoOverlap,67,66,66,1.503,66.0,0.0,0.9850746268656716,1.0,1.0,1.0,separated
47,0,4,3,4,0.0954,1,LightOverlap,0,118,118,20.658,39.333333333333336,1.0902744348686533,118.0,1.0,2.0,1.0,mixed
48,0,3,2,3,0.347,2,MidOverlap,116,143,143,3.129,71.5,1.3712831332862756,1.2327586206896552,1.0,2.0,1.0,mixed
49,0,4,4,4,0.1363,1,LightOverlap,0,127,127,9.746,31.75,1.3605273114437084,127.0,1.0,2.0,1.0,mixed
50,1,2,0,2,0.223,2,MidOverlap,0,0,0,5.817,0.0,0.0,0.0,1.0,1.0,1.0,mixed
51,0,3,3,3,0.1579,1,LightOverlap,45,149,149,3.388,49.666666666666664,1.3244964084799224,3.311111111111111,1.0,2.0,1.0,mixed
52,1,3,3,3,0.1051,1,LightOverlap,95,108,108,4.657,36.0,0.9456603046006401,1.1368421052631579,1.0,1.0,1.0,mixed
53,0,2,1,2,0.0806,1,LightOverlap,0,89,89,10.978,89.0,1.0806263455475476,89.0,1.0,3.0,1.0,mixed
54,1,2,0,2,0.0589,1,LightOverlap,0,0,0,10.448,0.0,0.0,0.0,1.0,1.0,1.0,mixed
55,0,3,3,3,0.2398,2,MidOverlap,0,91,91,13.1,30.333333333333332,0.40907313904382653,91.0,1.0,1.3333333333333333,1.0,mixed
56,1,2,1,2,0.1959,1,LightOverlap,115,50,50,0.241,50.0,0.0,0.43478260869565216,1.0,1.0,1.0,mixed
57,0,2,2,2,0.0036,0,NoOverlap,0,76,76,17.901,38.0,1.183979481251995,76.0,1.0,2.0,1.0,mixed
58,0,1,1,1,0.0,0,NoOverlap,85,81,81,0.455,81.0,0.0,0.9529411764705882,2.0,1.0,1.0,separated
59,1,2,1,2,0.0,0,NoOverlap,0,84,84,5.207,84.0,0.3255517134879514,84.0,1.0,1.0,1.0,mixed
60,1,2,0,2,0.0346,0,NoOverlap,0,0,0,1.214,0.0,0.0,0.0,1.0,1.0,1.0,mixed
61,1,2,1,2,0.0785,1,LightOverlap,97,93,93,1.163,93.0,0.0,0.9587628865979382,1.0,1.0,1.0,mixed
62,1,2,0,2,0.0274,0,NoOverlap,104,0,0,2.156,0.0,0.0,0.0,1.0,1.0,1.0,separated
63,0,2,1,2,0.0848,1,LightOverlap,0,67,67,3.737,67.0,1.426067565701062,67.0,1.0,3.0,1.0,mixed
64,1,2,0,2,0.0,0,NoOverlap,0,0,0,1.606,0.0,0.0,0.0,1.0,1.0,1.0,mixed
65,0,3,3,3,0.1842,1,LightOverlap,0,154,154,23.93,51.333333333333336,1.3138960664574484,154.0,1.0,2.6666666666666665,1.0,mixed
66,1,3,1,3,0.1743,1,LightOverlap,0,7,7,4.663,7.0,0.0,7.0,1.0,1.0,1.0,mixed
67,1,2,1,2,0.0547,1,LightOverlap,0,2,2,5.538,2.0,0.0,2.0,1.0,1.0,1.0,mixed
68,0,4,4,4,0.3405,2,MidOverlap,83,144,144,7.848,36.0,1.4655382929439713,1.7349397590361446,1.0,3.0,1.0,mixed
69,0,2,2,2,0.143,1,LightOverlap,116,129,129,6.697,64.5,0.9671932525428005,1.1120689655172413,1.0,1.5,1.0,mixed
70,0,3,2,3,0.2049,2,MidOverlap,39,92,92,1.538,46.0,1.1710370534794161,2.358974358974359,1.0,1.6666666666666667,1.0,mixed
71,1,2,0,2,0.1588,1,LightOverlap,0,0,0,1.456,0.0,0.0,0.0,1.0,1.0,1.0,mixed
72,0,4,3,4,0.2605,2,MidOverlap,0,116,116,17.772,38.666666666666664,1.113907900606789,116.0,1.0,1.75,1.0,mixed
73,0,3,3,3,0.1979,1,LightOverlap,0,119,119,5.84,39.666666666666664,1.411980946649793,119.0,1.0,4.333333333333333,1.0,mixed
74,0,4,3,4,0.3785,2,MidOverlap,0,102,102,20.317,34.0,1.384431504340598,102.0,1.0,1.5,1.0,mixed
75,1,2,0,2,0.0434,0,NoOverlap,172,0,0,0.174,0.0,0.0,0.0,1.0,1.0,1.0,separated
76,0,1,1,1,0.0,0,NoOverlap,0,74,74,6.106,74.0,0.940958581125796,74.0,1.0,3.0,1.0,mixed
